,question,right_answer,right_chunk,rag_answer,rag_chunks,rag_metas,type,normalized_right_chunk,multiple_chunks,top1,topk,retriv_semantic_sim,exact_match,f1,gen_sim
0,"How many seasons did the show ""Horsin' Around"" air?",Nine seasons.,the family comedy struck a chord with America and went on to air for nine seasons.,"The show ""Horsin' Around"" went on to air for nine seasons.","[""CHARLIE ROSE:  In 1987, the situation comedy Horsin' Around premiered on ABC."", ""Bojack is getting some tang while an episode of 'Horsin' Around' is playing"", ""CHARLIE ROSE: The show, in which a young, bachelor horse is forced to reevaluate his priorities when he agrees to raise three human children, was initially dismissed by critics as broad and saccharine and not good, but the family comedy struck a chord with America and went on to air for nine seasons. The star of Horsin' Around, BoJack Horseman, is our guest tonight."", ""CHARLIE ROSE: Yes. Anyway, we were talking about Horsin' Around."", ""Bojack is drinking a beer and watching a rerun of 'Horsin' Around; his cell phone rings and he ignores it""]","[{'chunk': 0, 'source_para': 12, 'tokens': 24, 'role': 'CHARLIE ROSE'}, {'source_para': 125, 'chunk': 0, 'tokens': 19, 'role': 'UNKNOWN'}, {'tokens': 84, 'source_para': 14, 'chunk': 0, 'role': 'CHARLIE ROSE'}, {'source_para': 25, 'tokens': 20, 'chunk': 0, 'role': 'CHARLIE ROSE'}, {'chunk': 0, 'role': 'UNKNOWN', 'source_para': 91, 'tokens': 27}]",Character Identity & Core Facts,"[""CHARLIE ROSE: The show, in which a young, bachelor horse is forced to reevaluate his priorities when he agrees to raise three human children, was initially dismissed by critics as broad and saccharine and not good, but the family comedy struck a chord with America and went on to air for nine seasons. The star of Horsin' Around, BoJack Horseman, is our guest tonight.""]",False,0,1,1.0,0,0.3076923076923077,0.5571725368499756
1,What specific ingredients are in BoJack's breakfast smoothie?,"Carrots, vitamins, and vodka.","Bojack prepares himself a smoothie of carrots, vitamins,and vodka for breakfast","Based on the context, the specific ingredient in BoJack's breakfast smoothie is peanut butter.","['Bojack prepares himself a smoothie of', ""BOJACK: How many flavors do you need, man? It's peanut butter."", 'BOJACK: What does that taste like? Disappointment?', ""BOJACK: Yeah, but I didn't even eat that much bread. What did I have? I must have had-"", 'BOJACK: Have you tried alcohol?']","[{'source_para': 51, 'chunk': 0, 'role': 'UNKNOWN', 'tokens': 8}, {'tokens': 18, 'role': 'BOJACK', 'source_para': 517, 'chunk': 0}, {'chunk': 0, 'role': 'BOJACK', 'tokens': 13, 'source_para': 519}, {'source_para': 199, 'tokens': 26, 'chunk': 0, 'role': 'BOJACK'}, {'tokens': 9, 'role': 'BOJACK', 'source_para': 400, 'chunk': 0}]",Character Identity & Core Facts,['Bojack prepares himself a smoothie of'],False,1,1,1.0,0,0.0,0.23105522990226746
2,What TV show did BoJack Horseman star in and when did it premiere?,"Horsin' Around, which premiered in 1987.","CHARLIE ROSE: In 1987, the situation comedy Horsin' Around premiered on ABC","The TV show BoJack Horseman starred in was ""Horsin' Around"". Although the premiere date is not specified in the context, it is mentioned that it initially aired for nine seasons.","[""BOJACK ON TV: Now, that's a horse of a different -"", ""Back in the '90s I was in a very famous TV show - I'm BoJack the horse - BoJack BoJack the horse Don't act like you don't know And I'm trying to hold on to my past It's been so long I don't think I'm gonna last I guess I'll just try And make you understand That I'm more horse than a man Or I'm more man than a horse. Bojack!"", 'BOJACK: BoJack Horseman: The BoJack Horseman Story, written by BoJack Horseman.', ""CHARLIE ROSE: The show, in which a young, bachelor horse is forced to reevaluate his priorities when he agrees to raise three human children, was initially dismissed by critics as broad and saccharine and not good, but the family comedy struck a chord with America and went on to air for nine seasons. The star of Horsin' Around, BoJack Horseman, is our guest tonight."", 'DIANE: Hey, BoJack, right? BoJack Horseman?']","[{'source_para': 128, 'chunk': 0, 'tokens': 16, 'role': 'BOJACK ON TV'}, {'chunk': 0, 'role': 'UNKNOWN', 'source_para': 470, 'tokens': 89}, {'source_para': 72, 'role': 'BOJACK', 'chunk': 0, 'tokens': 23}, {'role': 'CHARLIE ROSE', 'source_para': 14, 'chunk': 0, 'tokens': 84}, {'chunk': 0, 'role': 'DIANE', 'tokens': 15, 'source_para': 395}]",Character Identity & Core Facts,"[""CHARLIE ROSE:  In 1987, the situation comedy Horsin' Around premiered on ABC.""]",False,0,0,0.648063600063324,0,0.05555555555555555,0.6066240072250366
3,"What was the premise of BoJack's show, Horsin' Around?",A young bachelor horse raises three human children.,"CHARLIE ROSE: The show, in which a young, bachelor horse is forced to reevaluate his priorities when he agrees to raise three human children","The context doesn't explicitly mention the premise of ""Horsin' Around,"" but it does imply that BoJack has a certain level of disdain or dismissal for the show. However, in the response, BoJack contradicts himself by stating that the show is ""actually pretty solid for what it is."" This suggests that ""Horsin' Around"" is likely a relatively low-brow or cheesy sitcom, but the specific premise is not mentioned.","[""Bojack is getting some tang while an episode of 'Horsin' Around' is playing"", 'BOJACK: What?', 'BOJACK: What?', ""Bojack is drinking a beer and watching a rerun of 'Horsin' Around; his cell phone rings and he ignores it"", ""BOJACK: 'Cause I I think the show's actually pretty solid for what it is.""]","[{'source_para': 125, 'role': 'UNKNOWN', 'tokens': 19, 'chunk': 0}, {'role': 'BOJACK', 'tokens': 6, 'chunk': 0, 'source_para': 184}, {'role': 'BOJACK', 'tokens': 6, 'source_para': 223, 'chunk': 0}, {'source_para': 91, 'role': 'UNKNOWN', 'chunk': 0, 'tokens': 27}, {'tokens': 20, 'role': 'BOJACK', 'source_para': 29, 'chunk': 0}]",Character Identity & Core Facts,"[""CHARLIE ROSE: The show, in which a young, bachelor horse is forced to reevaluate his priorities when he agrees to raise three human children, was initially dismissed by critics as broad and saccharine and not good, but the family comedy struck a chord with America and went on to air for nine seasons. The star of Horsin' Around, BoJack Horseman, is our guest tonight.""]",False,0,0,0.3973107933998108,0,0.02666666666666667,0.07287225127220154
4,Who is the character living on BoJack's couch without paying rent?,Todd.,"BOJACK: First of all, we're not roommates. You are my houseguest. ... You sleep on my couch, and you don't pay rent.","The character living on BoJack's couch without paying rent is not explicitly mentioned in the given context. We only see BoJack and Ent, but it is not clear if Ent is living on the couch without paying rent.","['In Bojacks house', 'BOJACK: What guy?', 'BOJACK: Ugh, you know who that is?', ""ENT: Bojack's living room"", ""ENT: Bojack's living room""]","[{'chunk': 0, 'role': 'UNKNOWN', 'source_para': 41, 'tokens': 5}, {'role': 'BOJACK', 'chunk': 0, 'source_para': 402, 'tokens': 7}, {'source_para': 414, 'role': 'BOJACK', 'chunk': 0, 'tokens': 13}, {'tokens': 7, 'role': 'ENT', 'source_para': 210, 'chunk': 0}, {'chunk': 0, 'source_para': 323, 'role': 'ENT', 'tokens': 7}]",Character Identity & Core Facts,"[""BOJACK: First of all, we're not roommates. You are my houseguest.""]",False,0,0,0.4468901455402374,0,0.0,0.10630656778812408
5,Why did Todd's parents kick him out?,"They didn't approve of his ""alternative lifestyle"" (being lazy).",BOJACK: You told me they didn't approve of your 'alternative lifestyle. ... I didn't realize by 'alternative lifestyle' that you meant you were lazy.,"The context does not explicitly state why Todd's parents kicked him out. It only mentions that they did, and Todd had nowhere to go.","[""TODD: Because my parents kicked me out, and I had nowhere to go, and even though you don't want anyone to know it-"", 'TODD: What?', 'TODD: Ow. Why?', 'TODD: She did.', 'Flashback to Todd getting beat up by the rhino again']","[{'chunk': 0, 'role': 'TODD', 'source_para': 50, 'tokens': 30}, {'tokens': 6, 'role': 'TODD', 'chunk': 0, 'source_para': 271}, {'chunk': 0, 'source_para': 295, 'tokens': 8, 'role': 'TODD'}, {'chunk': 0, 'tokens': 7, 'source_para': 222, 'role': 'TODD'}, {'source_para': 319, 'tokens': 12, 'chunk': 0, 'role': 'UNKNOWN'}]",Character Identity & Core Facts,"['BOJACK: You told me they didn\'t approve of your ""alternative lifestyle.']",False,0,0,0.27011534571647644,0,0.06060606060606061,0.27212074398994446
6,Who is Pinky and where does he work?,He is an editor at a publishing house called Penguin.,"PINKY: Now, as you know, Penguin is very eager to publish your memoirs... BOJACK: Aren't you an editor at a major publishing house?","Based on the context, Pinky works in an office, but the exact job title is not specified. However, it can be inferred that he is an author, as it is mentioned that Penguin is eager to publish his memoirs.","['PINKY: Thanks for meeting me here.', 'PINKY: Yeah, a publishing house. When was the last time you saw a book?', ""ENT: Pinky's office"", 'PINKY: Just an issue with the bank and a lack of money in it. Now, as you know, Penguin is very eager to publish your memoirs, but you keep missing your deadlines.', ""PINKY: She's great, and she's got a thing for horses. Check this out.""]","[{'role': 'PINKY', 'source_para': 66, 'chunk': 0, 'tokens': 10}, {'tokens': 20, 'chunk': 0, 'role': 'PINKY', 'source_para': 78}, {'chunk': 0, 'role': 'ENT', 'tokens': 6, 'source_para': 274}, {'source_para': 69, 'role': 'PINKY', 'tokens': 41, 'chunk': 0}, {'chunk': 0, 'source_para': 277, 'role': 'PINKY', 'tokens': 21}]",Character Identity & Core Facts,"['PINKY: Just an issue with the bank and a lack of money in it. Now, as you know, Penguin is very eager to publish your memoirs, but you keep missing your deadlines.']",False,0,1,1.0,0,0.12244897959183675,0.5612718462944031
7,What is the name of Mr. Peanutbutter's TV show?,Mr. Peanutbutter's House.,"BOJACK: Yeah, he was on that show Mr. Peanutbutter's House about that dog who adopted the three human kids.",'Cereal Killers'.,"['MR. PEANUTBUTTER: Always a', 'MR. PEANUTBUTTER: Uh-huh.', 'MR. PEANUTBUTTER: Yeah.', ""MR. PEANUTBUTTER: No, 'Cereal Killers'! It's catchy! Like a crossover episode!"", 'MR. PEANUTBUTTER: Oh, yes.']","[{'role': 'UNKNOWN', 'chunk': 0, 'source_para': 181, 'tokens': 11}, {'tokens': 13, 'role': 'UNKNOWN', 'source_para': 452, 'chunk': 0}, {'source_para': 447, 'role': 'UNKNOWN', 'chunk': 0, 'tokens': 11}, {'role': 'UNKNOWN', 'source_para': 482, 'chunk': 0, 'tokens': 27}, {'source_para': 464, 'role': 'UNKNOWN', 'tokens': 13, 'chunk': 0}]",Character Identity & Core Facts,"[""BOJACK: Yeah, he was on that show Mr. Peanutbutter's House about that dog who adopted the three human kids.""]",False,0,0,0.5286820530891418,0,0.0,0.276359498500824
8,What personal hero did BoJack want to play in a movie?,Secretariat.,"BOJACK: Hey, Secretariat. You know, I always wanted to play Secretariat in a movie. He's kind of my personal hero.","Based on the context, it's unclear what personal hero BoJack wanted to play in a movie. The context seems to be a conversation about someone named ""that guy"" who was bringing up three boys of his own, but it doesn't mention a movie or a character.","['BOJACK: What guy?', 'BOJACK: What?', 'BOJACK: What?', 'BOJACK: Ugh, you know who that is?', 'BOJACK: Do I know his story? If I recall correctly, he was bringing up three boys of his own.']","[{'source_para': 402, 'chunk': 0, 'tokens': 7, 'role': 'BOJACK'}, {'source_para': 184, 'chunk': 0, 'tokens': 6, 'role': 'BOJACK'}, {'chunk': 0, 'tokens': 6, 'role': 'BOJACK', 'source_para': 223}, {'tokens': 13, 'source_para': 414, 'chunk': 0, 'role': 'BOJACK'}, {'tokens': 25, 'chunk': 0, 'role': 'BOJACK', 'source_para': 421}]",Character Identity & Core Facts,"['BOJACK: Hey, Secretariat. You know, I always wanted to play']",False,0,0,0.19844403862953186,0,0.0,0.013391929678618908
9,What is Diane's profession?,She is a ghostwriter.,PINKY: We're tired of waiting. We're hiring you a ghostwriter. BOJACK: Diane 'Nugent'?,"Based on the context, it is not possible to determine Diane's profession as the conversation only consists of a series of ""yes"" and ""no"" responses, with no information about her profession.","[""DIANE: It's Diane."", 'DIANE: Yes.', 'DIANE: Yes.', 'DIANE: Right, but-', ""DIANE: No, it's not.""]","[{'tokens': 7, 'role': 'DIANE', 'chunk': 0, 'source_para': 397}, {'role': 'DIANE', 'tokens': 5, 'source_para': 449, 'chunk': 0}, {'chunk': 0, 'tokens': 5, 'role': 'DIANE', 'source_para': 460}, {'role': 'DIANE', 'chunk': 0, 'source_para': 422, 'tokens': 7}, {'tokens': 9, 'source_para': 428, 'chunk': 0, 'role': 'DIANE'}]",Character Identity & Core Facts,"[""PINKY: [clears throat] We're tired of waiting. We're hiring you a ghostwriter.""]",False,0,0,0.14587411284446716,0,0.1142857142857143,0.31653380393981934
